min,desired,current,actTTFT_s
0.00,3.0,8.0,
0.50,3.0,8.0,0.2848589385394007
1.00,3.0,8.0,0.28402824679547
1.50,3.0,7.0,0.28647105931922534
2.00,3.0,7.0,0.2883546542959444
2.50,3.0,7.0,0.2839431391030397
3.00,3.0,7.0,0.28180336284761626
3.50,3.0,6.0,0.28529606485659237
4.00,3.0,6.0,0.2872626460243568
4.50,3.0,6.0,0.2893815744117054
5.00,3.0,6.0,0.2897675470496067
5.50,3.0,5.0,0.28779921422386145
6.00,3.0,5.0,0.2879249787115505
6.50,3.0,5.0,0.2871230776293267
7.00,3.0,5.0,0.29670654340985825
7.50,3.0,4.0,0.30457543416792904
8.00,3.0,4.0,0.300546748674183
8.50,3.0,4.0,0.3006554477201785
9.00,3.0,4.0,0.305122734247468
9.50,3.0,3.0,0.3273790426430337
10.00,3.0,3.0,0.33935196629925807
10.50,3.0,3.0,0.33064561572790074
11.00,3.0,3.0,0.3252274414292787
11.50,3.0,3.0,0.3265440650353792
12.00,3.0,3.0,0.33648434466682375
12.50,3.0,3.0,0.3434084332774865
13.00,3.0,3.0,0.34029900747218306
13.50,3.0,3.0,0.31320399524685877
14.00,3.0,3.0,0.34521512874543736
14.50,3.0,3.0,2.275577875863761
15.00,3.0,3.0,7.886071434914905
15.50,4.0,3.0,15.299420879917307
16.00,4.0,3.0,22.13561564033692
16.50,5.0,4.0,29.405837851781172
17.00,5.0,4.0,36.45177539789924
17.50,6.0,5.0,43.85063800043262
18.00,6.0,5.0,53.81790539055063
18.50,6.0,6.0,62.25460663912418
19.00,6.0,6.0,64.72661111904057
19.50,8.0,6.0,63.11519934929604
20.00,8.0,6.0,71.4206658290969
20.50,8.0,7.0,89.4247939714436
21.00,8.0,7.0,72.538503338703
21.50,8.0,8.0,0.3010149976399578
22.00,8.0,8.0,0.31140516050853323
22.50,8.0,8.0,0.3195709302308542
23.00,8.0,8.0,0.3173484623438749
23.50,8.0,8.0,0.3098133396842096
24.00,8.0,8.0,0.3077791988985495
24.50,8.0,8.0,0.30543023434771266
25.00,8.0,8.0,0.30534404380718655
25.50,8.0,8.0,0.30494416771388405
26.00,8.0,8.0,0.3036789102228106
26.50,8.0,8.0,0.30480587587503966
27.00,8.0,8.0,0.30684369362058805
27.50,8.0,8.0,0.2968412606151344
28.00,8.0,8.0,0.30193214727175016
28.50,8.0,8.0,0.30998608864366917
29.00,8.0,8.0,0.31582438671585483
29.50,7.0,8.0,0.31943925202320095
30.00,7.0,8.0,0.3169507940382127
30.50,7.0,8.0,0.3144946290868456
31.00,7.0,8.0,0.31343343325210893
31.50,7.0,8.0,0.31288618626525605
32.00,7.0,8.0,0.31313917385510254
32.50,6.0,8.0,0.31465359944692023
33.00,6.0,8.0,0.3205835209569421
33.50,6.0,7.0,0.3248633133009912
34.00,6.0,7.0,0.3055082846777668
34.50,5.0,7.0,0.29189438228759
35.00,5.0,7.0,0.29300941465445696
35.50,5.0,7.0,0.2936192430092387
36.00,5.0,7.0,0.2916337522241032
36.50,4.0,6.0,0.2923402951251882
37.00,4.0,6.0,0.29301511401440516
37.50,4.0,6.0,0.2932583035207758
38.00,4.0,6.0,0.29648695348600007
38.50,3.0,5.0,0.29800816249968315
39.00,3.0,5.0,0.2990200609954841
39.50,3.0,5.0,0.29760215313446864
40.00,3.0,5.0,0.2935750027596629
40.50,3.0,4.0,0.2832664858549833
41.00,3.0,4.0,0.2845100057311356
41.50,3.0,4.0,0.2840486290598554
42.00,3.0,4.0,0.28777013617326264
42.50,3.0,3.0,0.29081455978833265
43.00,3.0,3.0,0.28753762225866975
43.50,3.0,3.0,0.2819570448921352
44.00,3.0,3.0,0.2808453591230015
44.50,3.0,3.0,0.2808894825016929
45.00,3.0,3.0,0.28291646640180895
45.50,3.0,3.0,0.2815845952928066
46.00,3.0,3.0,
46.50,3.0,3.0,
47.00,3.0,3.0,
47.50,3.0,3.0,
48.00,3.0,3.0,
48.50,3.0,3.0,
49.00,3.0,3.0,
49.50,3.0,3.0,
50.00,3.0,3.0,
50.50,3.0,3.0,
51.00,3.0,3.0,
51.50,3.0,3.0,
52.00,3.0,3.0,
52.50,3.0,3.0,
53.00,3.0,3.0,
53.50,3.0,3.0,
54.00,3.0,3.0,
54.50,3.0,3.0,
55.00,3.0,3.0,
55.50,3.0,3.0,
56.00,3.0,3.0,
56.50,3.0,3.0,
57.00,3.0,3.0,
57.50,3.0,3.0,
58.00,3.0,3.0,
58.50,3.0,3.0,
59.00,3.0,3.0,
59.50,3.0,3.0,
60.00,3.0,3.0,
60.50,3.0,3.0,
61.00,3.0,3.0,
61.50,3.0,3.0,
62.00,3.0,3.0,
62.50,3.0,3.0,
63.00,3.0,3.0,
63.50,3.0,3.0,
64.00,3.0,3.0,
64.50,3.0,3.0,
65.00,3.0,3.0,
65.50,3.0,3.0,
66.00,3.0,3.0,
66.50,3.0,3.0,
67.00,3.0,3.0,
67.50,3.0,3.0,
68.00,3.0,3.0,
68.50,3.0,3.0,
69.00,3.0,3.0,
69.50,3.0,3.0,
70.00,3.0,3.0,
70.50,3.0,3.0,
71.00,3.0,3.0,
71.50,3.0,3.0,
72.00,3.0,3.0,
72.50,3.0,3.0,
73.00,3.0,3.0,
73.50,3.0,3.0,
74.00,3.0,3.0,
74.50,3.0,3.0,
75.00,3.0,3.0,
75.50,3.0,3.0,
76.00,3.0,3.0,
76.50,3.0,3.0,
77.00,3.0,3.0,
77.50,3.0,3.0,
78.00,3.0,3.0,
78.50,3.0,3.0,
79.00,3.0,3.0,
79.50,3.0,3.0,
80.00,3.0,3.0,
